"sexo","cor_raca","age_x","N_t2"
"Homens","Amarela",0,13847
"Homens","Amarela",5,17081
"Homens","Amarela",10,18147
"Homens","Amarela",15,20333
"Homens","Amarela",20,23298
"Homens","Amarela",25,24400
"Homens","Amarela",30,27094
"Homens","Amarela",35,30934
"Homens","Amarela",40,33179
"Homens","Amarela",45,28133
"Homens","Amarela",50,27051
"Homens","Amarela",55,26122
"Homens","Amarela",60,24862
"Homens","Amarela",65,24527
"Homens","Amarela",70,23145
"Homens","Amarela",75,17676
"Homens","Amarela",80,21028
"Homens","Branca",0,2936502
"Homens","Branca",5,2919649
"Homens","Branca",10,2746653
"Homens","Branca",15,2796168
"Homens","Branca",20,2993920
"Homens","Branca",25,3002922
"Homens","Branca",30,3054685
"Homens","Branca",35,3174793
"Homens","Branca",40,3207717
"Homens","Branca",45,2722514
"Homens","Branca",50,2608728
"Homens","Branca",55,2495474
"Homens","Branca",60,2203643
"Homens","Branca",65,1774006
"Homens","Branca",70,1336551
"Homens","Branca",75,870913
"Homens","Branca",80,943728
"Homens","Indígena",0,70783
"Homens","Indígena",5,69275
"Homens","Indígena",10,65344
"Homens","Indígena",15,62651
"Homens","Indígena",20,56496
"Homens","Indígena",25,47479
"Homens","Indígena",30,41268
"Homens","Indígena",35,38625
"Homens","Indígena",40,34616
"Homens","Indígena",45,28873
"Homens","Indígena",50,24057
"Homens","Indígena",55,20117
"Homens","Indígena",60,16648
"Homens","Indígena",65,12570
"Homens","Indígena",70,9084
"Homens","Indígena",75,5844
"Homens","Indígena",80,7338
"Homens","Parda",0,3030829
"Homens","Parda",5,3481113
"Homens","Parda",10,3580594
"Homens","Parda",15,3696331
"Homens","Parda",20,3782184
"Homens","Parda",25,3616257
"Homens","Parda",30,3499441
"Homens","Parda",35,3623453
"Homens","Parda",40,3540880
"Homens","Parda",45,2963694
"Homens","Parda",50,2637776
"Homens","Parda",55,2270741
"Homens","Parda",60,1860962
"Homens","Parda",65,1405388
"Homens","Parda",70,986251
"Homens","Parda",75,604296
"Homens","Parda",80,619387
"Homens","Preta",0,409443
"Homens","Preta",5,523883
"Homens","Preta",10,581729
"Homens","Preta",15,741701
"Homens","Preta",20,910533
"Homens","Preta",25,935525
"Homens","Preta",30,914062
"Homens","Preta",35,958928
"Homens","Preta",40,964121
"Homens","Preta",45,805526
"Homens","Preta",50,716473
"Homens","Preta",55,606760
"Homens","Preta",60,499513
"Homens","Preta",65,371432
"Homens","Preta",70,260218
"Homens","Preta",75,159000
"Homens","Preta",80,167173
"Mulheres","Amarela",0,13301
"Mulheres","Amarela",5,16110
"Mulheres","Amarela",10,17718
"Mulheres","Amarela",15,21733
"Mulheres","Amarela",20,26242
"Mulheres","Amarela",25,27285
"Mulheres","Amarela",30,29781
"Mulheres","Amarela",35,34139
"Mulheres","Amarela",40,36396
"Mulheres","Amarela",45,31627
"Mulheres","Amarela",50,29768
"Mulheres","Amarela",55,29653
"Mulheres","Amarela",60,28358
"Mulheres","Amarela",65,28140
"Mulheres","Amarela",70,27423
"Mulheres","Amarela",75,21710
"Mulheres","Amarela",80,29889
"Mulheres","Branca",0,2847942
"Mulheres","Branca",5,2815155
"Mulheres","Branca",10,2662301
"Mulheres","Branca",15,2814407
"Mulheres","Branca",20,3082684
"Mulheres","Branca",25,3180029
"Mulheres","Branca",30,3320342
"Mulheres","Branca",35,3550306
"Mulheres","Branca",40,3619746
"Mulheres","Branca",45,3135533
"Mulheres","Branca",50,3019482
"Mulheres","Branca",55,2947033
"Mulheres","Branca",60,2648222
"Mulheres","Branca",65,2205720
"Mulheres","Branca",70,1735928
"Mulheres","Branca",75,1220095
"Mulheres","Branca",80,1658630
"Mulheres","Indígena",0,68596
"Mulheres","Indígena",5,66165
"Mulheres","Indígena",10,62845
"Mulheres","Indígena",15,60585
"Mulheres","Indígena",20,56125
"Mulheres","Indígena",25,48283
"Mulheres","Indígena",30,42326
"Mulheres","Indígena",35,39600
"Mulheres","Indígena",40,35180
"Mulheres","Indígena",45,28980
"Mulheres","Indígena",50,24707
"Mulheres","Indígena",55,21795
"Mulheres","Indígena",60,18153
"Mulheres","Indígena",65,14376
"Mulheres","Indígena",70,10602
"Mulheres","Indígena",75,7684
"Mulheres","Indígena",80,10572
"Mulheres","Parda",0,2920727
"Mulheres","Parda",5,3343711
"Mulheres","Parda",10,3411297
"Mulheres","Parda",15,3500052
"Mulheres","Parda",20,3718429
"Mulheres","Parda",25,3739444
"Mulheres","Parda",30,3709084
"Mulheres","Parda",35,3829243
"Mulheres","Parda",40,3712348
"Mulheres","Parda",45,3141104
"Mulheres","Parda",50,2822603
"Mulheres","Parda",55,2532029
"Mulheres","Parda",60,2104804
"Mulheres","Parda",65,1616199
"Mulheres","Parda",70,1158231
"Mulheres","Parda",75,741534
"Mulheres","Parda",80,882870
"Mulheres","Preta",0,392331
"Mulheres","Preta",5,496750
"Mulheres","Preta",10,527802
"Mulheres","Preta",15,661358
"Mulheres","Preta",20,815267
"Mulheres","Preta",25,846769
"Mulheres","Preta",30,833882
"Mulheres","Preta",35,891759
"Mulheres","Preta",40,887038
"Mulheres","Preta",45,753421
"Mulheres","Preta",50,687328
"Mulheres","Preta",55,618870
"Mulheres","Preta",60,538793
"Mulheres","Preta",65,423586
"Mulheres","Preta",70,310853
"Mulheres","Preta",75,198500
"Mulheres","Preta",80,246131
